year,date,day_night,casualty,city,accident_class,accident_subclass,road_type,longitude,latitude
2012,2012011001,0,1,1,0,0,0,127.43248114,37.28584529
2012,2012011000,0,1,1,1,3,0,127.37514345,37.67685762
2012,2012011400,0,1,1,2,4,0,127.16986651,37.61180849
2012,2012011306,1,1,1,0,1,0,127.63920857,37.26571752
2012,2012121719,0,1,10,1,2,0,126.63805324,37.44316838
2012,2012100614,1,6,1,0,0,0,127.10717093,37.29058502
2012,2012121407,1,1,5,0,4,0,127.66284875,35.94695278
2012,2012120323,0,2,2,0,0,0,127.96545834,36.44283697
2012,2012112807,1,2,2,0,0,0,128.34711203,35.79832412
2012,2012010316,1,1,3,1,8,0,126.49939008,35.19924125
2012,2012010322,0,1,5,2,7,0,127.12592158,35.83727798
2012,2012010516,1,3,0,0,1,2,128.35793099,35.03843746
2012,2012010715,1,2,13,1,8,0,127.60693640000001,36.72449749
2012,2012010720,0,1,1,0,1,2,126.82030814,37.310359600000005
2012,2012010521,0,1,0,2,7,2,128.09772149,35.13451609
2012,2012011318,0,1,5,0,1,2,126.72171572,35.72423577
2012,2012011410,1,2,1,0,1,0,126.78054329,37.58748072
2012,2012011419,0,2,1,0,0,0,127.29111954,37.8638896
2012,2012011416,1,1,12,2,4,0,129.12930209,35.22946874
2012,2012011101,0,2,1,0,0,0,126.74578744,37.3460982
2012,2012011011,1,1,14,2,4,0,129.30857018,35.54117136
2012,2012010915,1,1,1,1,3,2,127.01021912,37.03664815
2012,2012052114,1,1,6,0,0,0,128.48163659,35.74221404
2012,2012051916,1,3,4,1,2,0,126.56339986,36.26160821
2012,2012050404,0,2,6,0,0,0,128.52467675,35.8928511
2012,2012050301,0,4,6,0,0,0,128.49696487,35.80872411
2012,2012062901,0,1,1,1,2,0,126.93162481,37.68459448
2012,2012071319,0,4,5,0,5,0,127.49837930000001,35.49245809
2012,2012080717,1,3,1,0,0,0,127.27097148,37.24687374
2012,2012010118,0,3,5,0,0,2,126.97741370000001,35.94053412
2012,2012010110,1,2,0,0,1,2,128.15598435,35.73350294
2012,2012011008,1,1,14,0,1,0,129.30735655,35.54656259
2012,2012010801,0,1,1,2,7,2,127.02212651,37.26040006
2012,2012010521,0,1,5,2,7,0,127.13492683,35.84140802
2012,2012011307,1,1,0,0,4,2,128.6839567,35.22532285
2012,2012040819,0,3,0,0,4,0,127.78289275,35.5202945
2012,2012032406,1,1,0,1,4,0,127.93682865,35.05454389
2012,2012052514,1,3,1,1,3,0,127.15711855,37.58987842
2012,2012051418,0,3,8,0,0,0,127.81833403,37.29861488
2012,2012040923,0,10,4,0,0,0,126.93973193,36.36835173
2012,2012070316,1,1,0,0,1,0,128.98289606,35.25961661
2012,2012060413,1,2,0,0,0,0,128.71378919,35.27883625
2012,2012051512,1,2,5,0,0,0,127.20835548,35.86798983
2012,2012053123,0,3,5,0,0,0,127.10239896,35.92683105
2012,2012073022,0,1,2,0,0,0,128.74554331,35.6646973
2012,2012072003,0,2,13,0,0,0,127.47724792,36.86363181
2012,2012071108,1,1,14,1,3,0,129.24541135,35.52893099
2012,2012090910,1,3,5,0,0,0,126.72367819,35.65638393
2012,2012081020,0,1,8,2,4,0,127.82231087,37.30775326
2012,2012110204,0,4,6,0,0,0,128.69339479,35.8349369
2012,2012100621,0,1,1,2,7,0,127.13259404,37.07328258
2012,2012112404,0,6,1,0,0,0,127.13572242,37.06132127
2012,2012070504,0,1,2,0,0,0,128.16823012,36.13053884
2012,2012080720,0,6,6,0,0,0,128.69970457,35.88263836
2012,2012081801,0,1,2,0,0,0,128.43881981,35.97357601
2012,2012011400,0,5,10,0,1,2,126.70241125,37.41965323
2012,2012011101,0,1,0,1,3,0,128.45127902,34.88447835
2012,2012021719,0,1,4,1,3,0,127.21849062,36.760397999999995
2012,2012032501,0,1,0,1,3,0,128.97911473,35.23662687
2012,2012042717,1,3,3,1,3,0,126.48041629999999,35.13174617
2012,2012040307,1,1,0,0,5,0,129.01072457,35.30852653
2012,2012050707,1,28,0,0,0,0,129.03357464,35.33094987
2012,2012042901,0,1,1,0,1,0,127.15968490000002,37.51376645
2012,2012052503,0,2,1,0,0,0,127.25632464,37.45297379
2012,2012061213,1,1,13,1,2,0,127.863421,36.44818564
2012,2012070509,1,10,1,0,0,0,126.97364408,37.182647100000004
2012,2012061910,1,1,14,2,7,0,129.16930831,35.65832351
2012,2012061100,0,5,10,0,0,0,126.53550104,37.51687141
2012,2012090803,0,3,0,1,2,0,127.85954813,35.42968018
2012,2012090608,1,2,8,0,0,0,127.89910904,37.36236852
2012,2012091901,0,2,1,0,0,0,126.87322249,37.34027101
2012,2012103003,0,1,1,0,0,0,127.10849891,37.11887156
2012,2012092721,0,3,13,0,0,0,127.46170402,36.73982853
2012,2012111410,1,1,13,0,0,0,127.47248505,36.94294105
2012,2012010116,1,1,2,1,3,0,127.91103101,36.44732802
2012,2012010313,1,1,5,0,0,0,126.64669102,35.36548243
2012,2012010409,1,1,5,0,0,0,126.74201092,35.94358799
2012,2012011216,1,1,4,2,7,0,127.11871462,36.80224582
2012,2012011023,0,2,4,0,0,2,127.17852496,36.21221962
2012,2012011106,1,1,0,2,7,0,128.11689908,35.18708843
2012,2012020319,0,3,2,1,2,0,128.73528072,35.79077915
2012,2012031806,1,1,2,0,0,0,128.74560625,35.65950357
2012,2012011612,1,4,1,0,0,0,126.99467219,37.31682122
2012,2012101722,0,5,6,0,1,0,128.66692648,35.91676945
2012,2012091321,0,1,14,0,0,0,129.25513991,35.41035516
2012,2012111416,1,9,1,0,0,0,126.99547523,37.38573516
2012,2012082205,0,1,2,0,0,0,128.73633601,35.75245192
2012,2012010206,1,1,1,2,7,2,126.93938726,37.19448763
2012,2012010720,0,1,2,2,7,0,128.71428151,36.56408828
2012,2012010906,1,1,14,2,7,0,129.36011899,35.47068203
2012,2012010707,1,1,4,2,7,1,126.4768977,36.76701431
2012,2012010803,0,2,6,2,7,0,128.69989169,35.84214776
2012,2012010520,0,1,13,2,7,2,127.42503476,36.63338112
2012,2012011014,1,1,2,0,5,2,128.30243582,36.51303193
2012,2012011119,0,1,3,0,1,0,126.39308988,34.79570408
2012,2012011207,1,1,1,2,10,0,126.97812268,37.34194304
2012,2012011123,0,1,12,3,11,3,129.07082675,35.18571192
2012,2012010815,1,5,2,1,3,0,128.92758002,35.90421651
2012,2012020400,0,1,1,1,3,0,126.86765213,36.96489644
2012,2012012905,0,2,4,1,3,0,126.70932313,36.89452856
2012,2012022921,0,1,10,2,7,0,126.66264950000001,37.43832469
2012,2012051215,1,3,8,1,3,0,128.4444541,37.60706679999999
2012,2012052201,0,5,5,1,8,0,127.05748367,35.9027094
2012,2012032714,1,9,1,0,0,0,127.34956641,37.63423935
2012,2012042421,0,2,0,0,0,0,128.78858689,35.55461232
2012,2012051206,1,1,10,1,2,0,126.77687244,37.45862011
2012,2012010103,0,1,2,1,8,0,128.28489415,36.50669396
2012,2012010920,0,2,1,1,4,0,127.17472588,37.45053296
2012,2012010714,1,7,4,0,1,2,127.12160693,36.83410382
2012,2012011223,0,2,9,0,4,2,127.31815239,36.38724221
2012,2012011017,1,1,3,2,7,0,126.72423962,34.56004691
2012,2012012214,1,5,6,0,4,0,128.52720606,35.91795605
2012,2012010510,1,1,13,0,0,0,127.72706821,36.2744089
2012,2012061702,0,1,1,1,2,0,127.11398007,37.29159895
2012,2012070101,0,2,1,0,0,0,127.2057603,37.53141265
2012,2012072400,0,1,2,0,0,0,128.53398577,36.09104916
2012,2012122504,0,2,1,1,3,0,126.90031349,37.32223061
2012,2012090416,1,8,5,0,4,0,127.18914895,35.83373449
2012,2012092518,0,2,1,1,4,0,127.09815683,37.21836177
2012,2012092103,0,1,1,0,4,0,127.1568642,36.98730439
2012,2012102815,1,5,5,0,0,0,126.82662225,35.5675526
2012,2012100402,0,1,1,0,1,0,127.23725465,37.49387308
2012,2012081817,1,3,1,1,3,0,127.65742038,37.25357985
2012,2012110302,0,22,2,0,0,0,128.53640693,36.65652631
2012,2012072520,0,1,4,1,4,0,126.77661319,36.21165514
2012,2012071422,0,2,6,1,3,0,128.52593593,35.89082986
2012,2012062400,0,1,1,1,3,0,126.84067952,36.95194938
2012,2012071711,1,1,3,1,2,0,127.26973062,34.83332643
2012,2012020506,1,4,4,0,4,0,127.28028941,36.73354688
2012,2012050105,0,8,1,1,2,0,126.88406246,37.40629937
2012,2012032505,0,1,1,1,4,0,126.95183903,37.37785222
2012,2012071214,1,2,4,0,1,0,127.05144099,36.20654569
2012,2012061621,0,6,3,2,4,1,126.48630633,35.09751375
2012,2012061003,0,1,3,1,3,0,127.32871142,34.82277389
2012,2012070905,0,1,14,1,3,0,129.11511078,35.54060065
2012,2012062000,0,3,1,0,1,4,126.79056592,37.45735108
2012,2012112714,1,2,2,0,5,0,128.34452736,35.74961999
2012,2012012800,0,3,4,0,4,0,127.29677016,36.73143965
2012,2012022101,0,2,13,0,0,0,127.30526821,36.72800118
2012,2012041321,0,11,2,0,0,0,128.21993681,36.367883899999995
2012,2012052523,0,8,2,0,0,0,128.21672967,36.36823675
2012,2012032100,0,2,2,1,3,0,128.02507849,36.43004952
2012,2012040303,0,1,2,0,0,0,127.96661874,36.44283244
2012,2012050402,0,3,2,0,0,0,128.22706686,36.35186582
2012,2012050917,1,4,1,0,1,0,127.31562211,37.24704183
2012,2012040716,1,4,1,0,0,0,127.42324537,37.23779489
2012,2012050809,1,2,2,0,0,0,128.16220031,36.53527639
2012,2012050221,0,1,2,1,3,0,128.5358216,36.84790677
2012,2012071813,1,3,6,0,4,0,128.44068315,35.64793624
2012,2012122809,1,1,13,2,9,0,127.63269406,36.29305067
2012,2012102400,0,1,4,2,4,0,126.70401804,36.8909505
2012,2012082006,1,1,1,0,4,4,126.88450916,37.42627596
2012,2012122805,0,3,0,1,2,0,129.04974164,35.37269427
2012,2012122411,1,1,0,1,4,0,128.93642279,35.33006976
2012,2012082907,1,1,12,0,4,0,128.93765861,35.15845123
2012,2012092002,0,1,12,0,0,0,128.91511792,35.16217891
2012,2012091912,1,1,13,2,4,0,127.92096167,36.852161200000005
2012,2012082000,0,1,14,1,3,0,129.27043222,35.42176176
2012,2012080206,1,2,13,1,3,0,127.56111146,36.51212723
2012,2012010101,0,1,11,2,6,0,126.93187672,37.61284962
2012,2012010222,0,1,1,2,7,0,127.03556325,37.25402658
2012,2012010310,1,3,13,0,1,2,127.60151995,36.9902539
2012,2012010317,1,1,13,2,7,0,127.92589061,36.97413676
2012,2012010419,0,4,1,0,0,0,127.12928535,37.42798207
2012,2012010913,1,1,5,2,7,0,126.73237549999999,35.72642302
2012,2012010518,0,1,1,2,7,2,126.76792376,37.38249929
2012,2012011307,1,1,0,2,7,0,128.08883362,35.19283671
2012,2012011221,0,1,1,1,3,2,127.36717149,38.03781508
2012,2012011211,1,1,2,0,1,0,128.19617422,36.41824815
2012,2012011207,1,1,6,0,1,2,128.62151808,35.90805146
2012,2012011113,1,1,4,0,1,2,126.95586815,36.71185307
2012,2012022803,0,2,2,0,0,0,127.93402503,36.44261282
2012,2012020209,1,5,1,0,4,0,127.07974349,37.27858341
2012,2012031210,1,1,2,0,1,0,129.19441072,35.7572473
2012,2012051211,1,1,12,0,0,0,129.20626148,35.23419624
2012,2012101009,1,1,5,2,7,0,126.89317642,35.62887477
2012,2012110505,0,1,9,0,0,0,127.46183873,36.35280955
2012,2012101717,1,14,0,2,4,0,128.04690676,35.17650510000001
2012,2012082804,0,2,11,0,0,0,127.05133623,37.45181451
2012,2012041301,0,3,1,1,8,0,127.16765726,37.02477181
2012,2012050116,1,1,13,0,0,0,127.42757350000001,36.57397365
2012,2012041700,0,2,1,0,0,0,127.05371375,37.02481266
2012,2012032413,1,1,1,1,3,0,127.03982484,37.17810009
2012,2012051901,0,2,1,0,4,0,126.9737021,37.18240398
2012,2012062206,1,2,6,0,0,0,128.69322293,35.83529022
2012,2012071002,0,1,1,0,0,0,127.12258498,37.09306447
2012,2012070102,0,9,4,0,4,0,127.18899261,36.87911081
2012,2012122222,0,4,13,0,4,0,127.39142418,36.61610955
2012,2012010920,0,1,1,2,7,0,127.33036135,37.25113820000001
2012,2012030614,1,7,1,0,1,0,127.4301251,37.23510394
2012,2012021107,1,1,1,1,2,0,127.13479013,37.64143143
2012,2012010118,0,1,14,2,7,2,129.30689449,35.54071868
2012,2012010518,0,1,15,1,12,0,126.66875205,33.27502498
2012,2012010716,1,1,1,2,7,0,126.72842263,37.36491492
2012,2012010723,0,1,11,0,1,2,127.05085267,37.50051332
