"발생년","발생년월일시","발생분","주야","요일","사망자수","사상자수","중상자수","경상자수","부상신고자수","발생지시도","발생지시군구","사고유형_대분류","사고유형_중분류","사고유형","법규위반_대분류","법규위반","도로형태_대분류","도로형태","당사자종별_1당_대분류","당사자종별_1당","당사자종별_2당_대분류","당사자종별_2당","발생위치X_UTMK","발생위치Y_UTMK","경도","위도"
"2012","2012010910","45","주간","월",1,1,0,0,0,"강원","춘천시","차대사람","기타","기타","운전자법규위반","안전운전 의무 불이행","교차로","교차로내","건설기계","건설기계","보행자","보행자","1016282 ","1976541 ",127.68491972,37.78841746
"2012","2012010623","00","야간","금",1,1,0,0,0,"대전","유성구","차대사람","횡단중","횡단중","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승용차","대형","보행자","보행자","984319  ","1811420 ",127.32534964,36.29997474
"2012","2012010510","15","주간","목",1,1,0,0,0,"충남","태안군","차량단독","기타","기타","운전자법규위반","안전운전 의무 불이행","기타/불명","기타/불명","화물차","소형","00","00","892164  ","1863087 ",126.29184979,36.75975324
"2012","2012010518","10","야간","목",1,1,0,0,0,"경기","포천시","차대사람","횡단중","횡단중","운전자법규위반","과속","단일로","기타단일로","화물차","중형","보행자","보행자","975232  ","2001628 ",127.21784109,38.01433447
"2012","2012011320","10","야간","금",1,1,0,0,0,"인천","계양구","차대사람","횡단중","횡단중","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","화물차","중형","보행자","보행자","931184  ","1949642 ",126.72100472,37.54354126
"2012","2012011316","50","주간","화",1,1,0,0,0,"서울","강서구","차량단독","기타","기타","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","이륜차","중형","00","00","940106  ","1949641 ",126.82199465,37.54415531
"2012","2012011222","38","야간","목",1,1,0,0,0,"전남","순천시","차대사람","기타","기타","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승용차","소형","보행자","보행자","1001954 ","1662091 ",127.52140126,34.95367494
"2012","2012011300","01","야간","금",1,1,0,0,0,"경기","양평군","차대차","추돌","진행중 추돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","화물차","소형","화물차","대형","992481  ","1946245 ",127.41491635,37.51546093
"2012","2012011016","25","주간","화",1,1,0,0,0,"인천","강화군","차대차","정면충돌","정면충돌","운전자법규위반","중앙선 침범","단일로","기타단일로","화물차","소형","원동기장치자전거","원동기장치자전거","909286  ","1961282 ",126.47159139,37.6468879
"2012","2012011113","50","주간","수",1,1,0,0,0,"인천","연수구","차대차","측면직각충돌","측면직각충돌","운전자법규위반","교차로 통행방법 위반","교차로","교차로내","승용차","중형","이륜차","소형","926539  ","1934337 ",126.66995535,37.40524246
"2012","2012030515","09","주간","월",1,1,0,0,0,"경기","양주시","차량단독","도로이탈","도로이탈 추락","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승용차","대형","00","00","950008  ","1965290 ",126.93307894,37.68576419
"2012","2012021000","55","야간","금",1,5,3,1,0,"경남","진주시","차대차","기타","기타","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","화물차","소형","승용차","중형","1070165 ","1693229 ",128.27109248,35.23200144
"2012","2012011804","03","야간","수",1,1,0,0,0,"경남","창원시(통합)","차대차","측면직각충돌","측면직각충돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승용차","중형","화물차","대형","1104305 ","1698312 ",128.64687031,35.27485481
"2012","2012042611","15","주간","목",1,1,0,0,0,"경남","함안군","차량단독","기타","기타","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승용차","소형","00","00","1081973 ","1699487 ",128.40147025,35.28752702
"2012","2012010108","50","주간","일",1,1,0,0,0,"충남","청양군","차량단독","공작물충돌","공작물충돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승용차","소형","00","00","940016  ","1832833 ",126.83028099,36.49126831
"2012","2012010104","00","야간","일",1,1,0,0,0,"경북","경산시","차량단독","공작물충돌","공작물충돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","원동기장치자전거","원동기장치자전거","00","00","1114077 ","1762013 ",128.76299968,35.8473881
"2012","2012010113","30","주간","일",1,3,1,1,0,"강원","강릉시","차량단독","공작물충돌","공작물충돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","화물차","소형","00","00","1118121 ","1964154 ",128.83931332,37.6692738
"2012","2012010917","20","주간","월",1,1,0,0,0,"부산","기장군","차대차","추돌","진행중 추돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","원동기장치자전거","원동기장치자전거","특수차","대형","1155351 ","1696449 ",129.20066799,35.25680531
"2012","2012010807","05","주간","일",1,1,0,0,0,"경남","진주시","차대사람","횡단중","횡단중","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승용차","중형","보행자","보행자","1051446 ","1688702 ",128.06409201,35.19213393
"2012","2012010702","27","야간","토",1,1,0,0,0,"경기","광주시","차량단독","공작물충돌","공작물충돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","화물차","소형","00","00","982027  ","1930644 ",127.29700154,37.37469384
"2012","2012010507","15","주간","목",1,1,0,0,0,"충남","천안시","차대사람","길가장자리구역통행중","길가장자리구역통행중","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승용차","중형","보행자","보행자","965501  ","1865001 ",127.2966662,36.75811427
"2012","2012010612","40","주간","금",1,2,0,1,0,"전북","남원시","차대차","정면충돌","정면충돌","운전자법규위반","중앙선 침범","단일로","기타단일로","승용차","중형","화물차","대형","989827  ","1714499 ",127.38793294,35.42619606
"2012","2012011304","20","야간","금",2,2,0,0,0,"인천","남동구","차대사람","횡단중","횡단중","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승용차","중형","보행자","보행자","929833  ","1941010 ",126.70653661,37.46564096
"2012","2012011200","13","야간","목",1,1,0,0,0,"인천","남동구","차대사람","횡단중","횡단중","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승용차","중형","보행자","보행자","929187  ","1939037 ",126.70704496,37.44962738
"2012","2012022800","05","야간","화",1,2,0,1,0,"부산","강서구","차대차","측면직각충돌","측면직각충돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승용차","중형","특수차","대형","1131579 ","1692837 ",128.94580467,35.22228805
"2012","2012011302","30","야간","금",1,2,1,0,0,"충북","괴산군","차대차","추돌","진행중 추돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","화물차","대형","화물차","중형","1044467 ","1860747 ",127.99809531,36.74375044
"2012","2012022202","00","야간","수",1,1,0,0,0,"충북","제천시","차량단독","공작물충돌","공작물충돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승용차","소형","00","00","1056666 ","1904811 ",128.13803842,37.14029124
"2012","2012012606","29","주간","목",1,1,0,0,0,"경북","구미시","차대사람","기타","기타","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","특수차","대형","보행자","보행자","1073845 ","1793521 ",128.32074022,36.13591977
