발생년,발생년월일시,발생분,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,도로형태_대분류,도로형태,당사자종별_1당_대분류,당사자종별_1당,당사자종별_2당_대분류,당사자종별_2당,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2015,2015052006,0,주간,수,1,3,2,0,0,충남,아산시,차대차,추돌,주정차중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,건설기계,건설기계,953826,1850772,126.9833866,36.65374904
2015,2015040802,50,야간,수,1,3,0,2,0,인천,남구,차대차,측면직각충돌,측면직각충돌,운전자법규위반,신호위반,교차로,교차로내,승용차,중형,이륜차,중형,924832,1940988,126.649992,37.46504944
2015,2015041116,36,주간,토,1,1,0,0,0,부산,금정구,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,교차로,교차로내,승합차,경형,보행자,보행자,1144167,1698755,129.0851161,35.2738999
2015,2015040918,14,야간,목,1,4,3,0,0,경기,고양시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,중형,0,0,944959,1954226,126.8765836,37.58578271
2015,2015041322,22,야간,월,1,1,0,0,0,충북,청주시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,0,0,987538,1847350,127.3606233,36.62393858
2015,2015041515,20,주간,수,1,1,0,0,0,경북,울진군,차대사람,길가장자리구역통행중,길가장자리구역통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,경형,보행자,보행자,1162959,1900510,129.3335472,37.08906097
2015,2015042516,35,주간,토,1,2,0,0,1,대구,중구,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,기타/불명,기타/불명,자전거,자전거,자전거,자전거,1100545,1764071,128.6137102,35.86804991
2015,2015042917,40,주간,수,1,5,0,4,0,전북,전주시,차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,중형,승합차,대형,963761,1758812,127.0987995,35.82512692
2015,2015042620,20,야간,일,1,1,0,0,0,서울,강북구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,경형,보행자,보행자,956915,1960810,127.011609,37.64576289
2015,2015042619,0,야간,일,1,1,0,0,0,강원,속초시,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,원동기장치자전거,0,0,1091298,2023039,128.5427397,38.20301363
2015,2015042705,0,야간,월,1,1,0,0,0,경기,안양시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,952050,1929793,126.9584869,37.36595765
2015,2015050304,0,야간,일,1,4,1,1,1,충북,충주시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,0,0,1033569,1901716,127.8868677,37.11262912
2015,2015050202,50,야간,토,1,1,0,0,0,전북,전주시,차대사람,길가장자리구역통행중,길가장자리구역통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,보행자,보행자,969078,1761362,127.157564,35.84829986
2015,2015042918,5,야간,수,1,1,0,0,0,경남,김해시,차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,화물차,중형,이륜차,소형,1118246,1704166,128.8009679,35.3260766
2015,2015050712,45,주간,목,1,1,0,0,0,경기,시흥시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,기타/불명,기타/불명,승용차,소형,보행자,보행자,931066,1929137,126.7215866,37.35872282
2015,2015050410,0,주간,월,1,3,0,2,0,경북,포항시,차대차,기타,기타,운전자법규위반,직진 및 우회전차의 통행방해,교차로,교차로내,승용차,소형,화물차,소형,1171701,1777155,129.4044024,35.97606192
2015,2015022012,0,주간,금,1,1,0,0,0,인천,서구,차대사람,보도통행중,보도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,927749,1946091,126.6824735,37.51127424
2015,2015022715,41,주간,금,1,2,1,0,0,충남,당진시,차대차,측면직각충돌,측면직각충돌,운전자법규위반,신호위반,교차로,교차로내,건설기계,건설기계,원동기장치자전거,원동기장치자전거,934453,1866701,126.7652808,36.79619751
2015,2015022817,30,주간,토,1,2,1,0,0,대전,동구,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,경형,0,0,1003085,1822622,127.5344043,36.40108802
2015,2015022606,15,주간,목,1,1,0,0,0,경남,김해시,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,중형,보행자,보행자,1119778,1690054,128.815761,35.19867916
2015,2015022519,10,야간,수,1,2,1,0,0,충남,아산시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,대형,보행자,보행자,954365,1856289,126.9890881,36.70350836
2015,2015022605,24,야간,목,1,2,1,0,0,충남,계룡시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,이륜차,사발이,977681,1809191,127.2514818,36.27974851
2015,2015022705,23,야간,금,1,1,0,0,0,경기,부천시,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,소형,0,0,937506,1942648,126.7931591,37.48095504
2015,2015030400,55,야간,수,1,1,0,0,0,경남,창녕군,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,중형,보행자,보행자,1081603,1724232,128.3998774,35.51065161
2015,2015030205,50,야간,월,1,1,0,0,0,충남,천안시,차대사람,횡단중,횡단중,운전자법규위반,신호위반,교차로,교차로내,건설기계,건설기계,보행자,보행자,966750,1869675,127.127159,36.82469205
2015,2015030200,30,야간,월,1,1,0,0,0,서울,용산구,차대사람,횡단중,횡단중,운전자법규위반,과속,단일로,횡단보도부근,승용차,중형,보행자,보행자,953168,1950111,126.969821,37.54914793
2015,2015030208,58,주간,월,1,1,0,0,0,경남,김해시,차대차,측면직각충돌,측면직각충돌,운전자법규위반,중앙선 침범,교차로,교차로내,자전거,자전거,화물차,대형,1129892,1692896,128.9272822,35.22303984
2015,2015030120,45,야간,일,1,1,0,0,0,경북,영주시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,자전거,자전거,1105945,1870894,128.6880546,36.83032939
2015,2015030212,40,주간,월,1,1,0,0,0,경기,부천시,차대사람,횡단중,횡단중,운전자법규위반,신호위반,교차로,교차로내,승합차,대형,보행자,보행자,935035,1943479,126.7651395,37.4882743
2015,2015030923,45,야간,월,1,3,1,1,0,광주,광산구,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,중형,승용차,중형,927461,1685442,126.7035059,35.16162272
2015,2015030919,5,야간,월,1,3,2,0,0,경기,여주시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,화물차,소형,화물차,소형,1005471,1909901,127.5616404,37.1878746
2015,2015030801,47,야간,일,1,1,0,0,0,서울,강남구,차대사람,횡단중,횡단중,운전자법규위반,과속,단일로,기타단일로,승용차,중형,보행자,보행자,958765,1947535,127.0331826,37.52624165
2015,2015031516,29,주간,일,1,1,0,0,0,충남,홍성군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,농기계,농기계,0,0,919624,1834208,126.6024841,36.50216763
2015,2015031912,40,주간,목,1,1,0,0,0,경기,부천시,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,단일로,횡단보도상,승합차,중형,보행자,보행자,938573,1947870,126.8047903,37.52809248
2015,2015031806,35,주간,수,1,2,1,0,0,대구,북구,차대사람,횡단중,횡단중,운전자법규위반,신호위반,교차로,교차로내,화물차,소형,보행자,보행자,1098298,1765357,128.5889835,35.8798707
2015,2015031813,40,주간,수,1,1,0,0,0,충남,공주시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,0,0,966974,1833736,127.1312195,36.50071865
2015,2015032316,25,주간,월,1,1,0,0,0,강원,동해시,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,단일로,횡단보도상,화물차,소형,보행자,보행자,1142102,1951033,129.108638,37.54768935
2015,2015032412,55,주간,화,1,1,0,0,0,경남,김해시,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,보행자,보행자,1133064,1703430,128.9638343,35.31757836
2015,2015032205,45,야간,일,1,2,1,0,0,강원,홍천군,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,중형,화물차,소형,1037161,1968233,127.9216197,37.71292636
2015,2015032122,39,야간,토,1,1,0,0,0,부산,사상구,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,중형,0,0,1136544,1685236,128.9990852,35.15310836
2015,2015032801,13,야간,토,1,1,0,0,0,경기,평택시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,화물차,소형,0,0,940581,1888167,126.832282,36.99009606
2015,2015032709,40,주간,금,1,1,0,0,0,전남,화순군,차대차,기타,기타,운전자법규위반,기타(운전자법규위반),단일로,기타단일로,화물차,소형,자전거,자전거,953511,1674167,126.9901613,35.06149985
2015,2015032811,31,주간,토,1,6,1,4,0,충북,괴산군,차대차,정면충돌,정면충돌,운전자법규위반,직진 및 우회전차의 통행방해,교차로,교차로내,승용차,중형,승합차,소형,1023564,1870673,127.7642616,36.83397957
2015,2015032610,42,주간,목,1,7,6,0,0,경기,화성시,차대차,추돌,주정차중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,특수차,중형,승용차,중형,945743,1916043,126.8882684,37.24167517
2015,2015032616,0,주간,목,1,1,0,0,0,서울,용산구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,건설기계,건설기계,보행자,보행자,953413,1950598,126.9725636,37.55354978
